objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,IMG_0514.jpeg,,,Savante 'Savy',Red,2025-11-07,Red's character art for the Down Darker Trails Call of Cthulhu Campaign,Cowboys;Digital art;Call of Cthulhu;Not AI,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",Red_IMG_1,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,IMG_0967.jpeg,,,My Classmates,Adalai,2024-10-08,Adalai's character being introduced to the rest of the party,Digital art;Call of Cthulhu;Not AI,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",Adalai_IMG_1,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,IMG_0002.jpeg,,,Lorraine Love,Caitlin,2024-11-17,A frontal portrait of Catilin's character Lorraine,Portrait;Digital art;Call of Cthulhu;Not AI,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",Caitlin_IMG 1,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,IMG_9090.jpeg,,,Great Sky General,Sage K.,2025-10-17,A painted miniature of a great warrior taking to the skys,Mini-painting;Warrior;Miniature,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",SageK_IMG 1,Figurine,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,IMG_6428.jpeg,,,Constantine's Portrait,Rozanne Lorenzana,2024-10-5,A fictional portrait taken of Rozanne's Call of Cthulhu character,Portrait;Digital art;Call of Cthulhu;Not AI,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",Lorenzana_IMG 1,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,IMG_8155.jpeg,,,The Great Serpent,Heather Wu,2025-8-30,"An interpretation of their friends character, drawn as a birthday gift",Portrait;Digital art;Dungeons and Dragons;Not AI,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",Wu_IMG 1,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,IMG_0265.jpeg,,,Goat Leader Miniature,Noah Kauffman,2025-8-21,A painted miniature of a cult leader goat monster,Mini-painting;Warrior;Warhammer 40K;Miniature,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",Kauffman_IMG 1,Figurine,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,IMG_90.jpeg,,,Ultra-Kill Inspired Mech,Cyrus Brewer,2025-5-29,An illustration of a mech for a Lancer game,Portrait;Digital art;Lancer;Mech;Not AI,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",Brewer_IMG 1,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,IMG_004.jpeg,,,Crocheted Lobster,Maxwell,2025-5-6,A crocheted lobster,Crochet;Animal;Physical,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",Maxwell_IMG 1,Crochet Figure,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,IMG_7585.jpeg,,,Killer of Worlds,Sage K.,2025-3-31,A massive demon with a flaming sword,Mini-painting;Demon;Warhammer 40K;Miniature,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",SageK_IMG 2,Figurine,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll011,IMG_005.jpeg,,,Crocheted Whale,Maxwell,2025-3-11,A crocheted Whale,Crochet;Animal;Physical,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",Maxwell_IMG 2,Crochet Figure,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll012,IMG_003.jpeg,,,The Sunshine Fox,Izubell,2025-1-1,A picture of a small fox,Digital art;Animal;Not AI,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",Izubell_IMG 1,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll013,IMG_007.jpeg,,,The Elk,Deni,2025-11-14,"A drawing of an ancient mask, belonging to the Elk",Physical Art;Creature:Not AI,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",Deni_IMG 1,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll014,IMG_006.jpeg,,,Fate and Concequences,Deni,2025-11-14,A clay project done by Deni,Physical Art;Sculpting;Not AI,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",Deni_IMG 2,Sculpture,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll015,Heroes.jpeg,,,Heroes,Caitlin,2025-11-14,A drawing of a team of super heroes,Digital art;Heroes;Not AI,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",Caitlin_IMG 2,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll016,Aria.jpeg,,,Aria,Caitlin,2025-11-14,A portrait of a character of Caitlin's,Digital art;Portrait;Not AI,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",Caitlin_IMG 3,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll017,IMG_3515.jpeg,,,Gotcha,Heather Wu,2025-11-15,A villain finally catches their hero,Digital art;Heroes;Not AI,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",Wu_IMG 2,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll018,IMG_1414.jpeg,,,Zombie Brute,Cyrus Barce,2025-10-26,A mini of a zombie brute,Mini-painting;Zombies;Dungeons and Dragons;Miniature,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",Barce_IMG 1,Figurine,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll019,IMG_2810.jpeg,,,Warhammer First,Patrick,2025-10-02,A knight mini from Warhammer 40k,Mini-painting;Human;Warhammer;Miniature,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",Patrick_IMG 1,Figurine,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll020,IMG_2025.jpeg,,,A Different Doctor,Ross Sanchez,2025-09-20,A drawing of a doctor with robot arms,Physical art;Sci-fi;Not AI,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",Sanchez_IMG 1,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll021,IMG_008.jpeg,,,When Art Happens,Ross Sanchez,2025-09-20,A drawing of a gunslinger,Physical art;Sci-fi;Not AI,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",Sanchez_IMG 2,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll022,IMG_0275.jpeg,,,Tortured Rogue,Issac L.,2024-10-12,A drawing of a Dark Urge Rogue from Baldurs Gate,Digital art;Baldurs Gate;Dungeons and Dragons;Not AI,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",Issac_IMG 1,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll023,IMG_8187.jpeg,,,Fetid Rat,Joce Yang,2024-11-08,A mini of a fetid rat,Mini-painting;Creature;Warhammer;Miniature,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",Yang_IMG 1,Figurine,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll024,IMG_6661.jpeg,,,Vorugal,Owen H.,2024-10-15,Vorugal from Vox Machina (the white/ice dragon),Physical Art;Dungeons and Dragons;Creature;Not AI,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",Owen_IMG 1,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/